,FID,BIORE_102,BIORE_103,BIORE_114,BIORE_116,BIORE_117,BIORE_118,BIORE_119,BIORE_121,BIORE_13,BIORE_132,BIORE_142,BIORE_147,BIORE_15,BIORE_16,BIORE_23,BIORE_26,BIORE_27,BIORE_29,BIORE_3,BIORE_4,geometry,best_solution,select_freq,status
15,15,,,,,,,,,,,,35951568.06,,,,,,,,,"POLYGON ((147.7231659766443 -19.54623097379426, 147.7939912249065 -19.50873867452975, 147.8638839161889 -19.54775425239498, 147.8629868291933 -19.62429215079566, 147.7921231706156 -19.66181369943355, 147.7221950108932 -19.62276808527069, 147.7231659766443 -19.54623097379426))",0,0,0
16,16,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.8638839161889 -19.54775425239498, 147.9346736937261 -19.51020132354267, 148.0046046790627 -19.54915702616924, 148.0037814752721 -19.62569564925538, 147.9329534015178 -19.66327786005786, 147.8629868291933 -19.62429215079566, 147.8638839161889 -19.54775425239498))",0,0,0
17,17,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.0046046790627 -19.54915702616924, 148.0753588675099 -19.51154349707921, 148.1453280327887 -19.55043929169577, 148.1445787162866 -19.62697857722345, 148.0737863459172 -19.66462142072299, 148.0037814752721 -19.62569564925538, 148.0046046790627 -19.54915702616924))",0,0,0
18,18,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.1453280327887 -19.55043929169577, 148.2160465139508 -19.51276519186764, 148.2860537448646 -19.55160104584717, 148.2853783193679 -19.62814093156765, 148.2146217707741 -19.66584437814715, 148.1445787162866 -19.62697857722345, 148.1453280327887 -19.55043929169577))",0,0,0
19,19,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.2860537448646 -19.55160104584717, 148.3567364007172 -19.5138664049295, 148.4267815827644 -19.55264228578981, 148.4261800516238 -19.62918270945003, 148.3554594430242 -19.66694672934289, 148.2853783193679 -19.62814093156765, 148.2860537448646 -19.55160104584717))",0,0,0
20,20,,,,,,,,,,,,17455806.95,,,,,,,,,"POLYGON ((147.0919288893916 -19.42308464607274, 147.162855975009 -19.38586423689081, 147.2325206117034 -19.42514854778608, 147.2312930444244 -19.50168339942583, 147.1603271002647 -19.53893288983265, 147.0906275840129 -19.49961843238225, 147.0919288893916 -19.42308464607274))",0,1,0
21,21,,,,,,,,,,,,21646436.52,,,,,,,,,"POLYGON ((147.2325206117034 -19.42514854778608, 147.3034128146648 -19.38786742616448, 147.3731161939888 -19.42709205690187, 147.3719623708874 -19.50362791175484, 147.3010314223193 -19.54093814765215, 147.2312930444244 -19.50168339942583, 147.2325206117034 -19.42514854778608))",0,0,0
22,22,,,,,,,,,,,,35248463.24,,,,,,,,,"POLYGON ((147.3731161939888 -19.42709205690187, 147.4439733954631 -19.38975025147531, 147.5137154044626 -19.42891516868818, 147.5126353312517 -19.50545196463021, 147.4417394973072 -19.54282291726732, 147.3719623708874 -19.50362791175484, 147.3731161939888 -19.42709205690187))",0,1,0
23,23,,,,,,,,,,,,141508968.3,,,,,,,,,"POLYGON ((147.5137154044626 -19.42891516868818, 147.5845374857826 -19.39151270824116, 147.6543180113036 -19.43061787870593, 147.6533116933313 -19.50715555360597, 147.5824510928775 -19.54458719408213, 147.5126353312517 -19.50545196463021, 147.5137154044626 -19.42891516868818))",0,29,0
24,24,,,,,,,,,,,,1754350.252,,,,,,,,,"POLYGON ((147.6543180113036 -19.43061787870593, 147.7251048539671 -19.39315479217266, 147.7949237826569 -19.43220018280907, 147.7939912249065 -19.50873867452975, 147.7231659766443 -19.54623097379426, 147.6533116933313 -19.50715555360597, 147.6543180113036 -19.43061787870593))",0,0,0
25,25,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.7949237826569 -19.43220018280907, 147.8656752683281 -19.39467649927332, 147.9355324866364 -19.43366207714437, 147.9346736937261 -19.51020132354267, 147.8638839161889 -19.54775425239498, 147.7939912249065 -19.50873867452975, 147.7949237826569 -19.43220018280907))",0,0,0
26,26,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.9355324866364 -19.43366207714437, 148.0062484971469 -19.39607782583935, 148.076143891327 -19.43500355815189, 148.0753588675099 -19.51154349707921, 148.0046046790627 -19.54915702616924, 147.9346736937261 -19.51020132354267, 147.9355324866364 -19.43366207714437))",0,0,0
27,27,,,,,,,,,,,,,,,,,9189314.52,,,,"POLYGON ((148.076143891327 -19.43500355815189, 148.1468243086769 -19.39735876845989, 148.2167577647868 -19.43622462256481, 148.2160465139508 -19.51276519186764, 148.1453280327887 -19.55043929169577, 148.0753588675099 -19.51154349707921, 148.076143891327 -19.43500355815189))",0,0,0
28,28,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.2167577647868 -19.43622462256481, 148.2874024711461 -19.39851932401697, 148.3573738750494 -19.43732526740922, 148.3567364007172 -19.5138664049295, 148.2860537448646 -19.55160104584717, 148.2160465139508 -19.51276519186764, 148.2167577647868 -19.43622462256481))",0,0,0
29,29,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.3573738750494 -19.43732526740922, 148.4279827527591 -19.3995594896856, 148.4979919901263 -19.43830549000473, 148.4974282954554 -19.51484713358036, 148.4267815827644 -19.55264228578981, 148.3567364007172 -19.5138664049295, 148.3573738750494 -19.43732526740922))",0,0,0
30,30,,,,,,,,,,,,17578132.35,,,,,,,,,"POLYGON ((146.8831641269957 -19.30496373061863, 146.9540870117047 -19.26783307380298, 147.0236391771504 -19.30720647613667, 147.0223031080802 -19.38374068852886, 146.9513412588005 -19.4209003567868, 146.8817544454236 -19.38149678624617, 146.8831641269957 -19.30496373061863))",0,0,0
31,31,,,,,,,67295551.74,,,,,49784149.34,,,,,,,,,"POLYGON ((147.0236391771504 -19.30720647613667, 147.0945274105667 -19.27001511156999, 147.1641184249733 -19.30932892974681, 147.162855975009 -19.38586423689081, 147.0919288893916 -19.42308464607274, 147.0223031080802 -19.38374068852886, 147.0236391771504 -19.30720647613667))",0,10,0
32,32,,,,,,,161475533.7,,,,,25688034,,,,,,,,,"POLYGON ((147.1641184249733 -19.30932892974681, 147.234971888305 -19.27207688579814, 147.3046016392826 -19.31133108628951, 147.3034128146648 -19.38786742616448, 147.2325206117034 -19.42514854778608, 147.162855975009 -19.38586423689081, 147.1641184249733 -19.30932892974681))",1,24,0
33,33,,,,,,,43577191.45,,,,,136280246.1,,,,,,,,,"POLYGON ((147.3046016392826 -19.31133108628951, 147.3754202138996 -19.27401839147787, 147.4450885888577 -19.31321294089744, 147.4439733954631 -19.38975025147531, 147.3731161939888 -19.42709205690187, 147.3034128146648 -19.38786742616448, 147.3046016392826 -19.31133108628951))",0,45,0
34,34,,,,,,,,,,,,86756540.64,,,,,,,,,"POLYGON ((147.4450885888577 -19.31321294089744, 147.5158721562925 -19.27583962389146, 147.5855790424407 -19.31497448899554, 147.5845374857826 -19.39151270824116, 147.5137154044626 -19.42891516868818, 147.4439733954631 -19.38975025147531, 147.4450885888577 -19.31321294089744))",0,5,0
35,35,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.5855790424407 -19.31497448899554, 147.6563274843898 -19.27754057861339, 147.7260727687393 -19.31661572630084, 147.7251048539671 -19.39315479217266, 147.6543180113036 -19.43061787870593, 147.5845374857826 -19.39151270824116, 147.5855790424407 -19.31497448899554))",0,0,0
36,36,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.7260727687393 -19.31661572630084, 147.7967859670643 -19.27912125151, 147.8665695364287 -19.31813664882304, 147.8656752683281 -19.39467649927332, 147.7949237826569 -19.43220018280907, 147.7251048539671 -19.39315479217266, 147.7260727687393 -19.31661572630084))",0,0,0
37,37,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.8665695364287 -19.31813664882304, 147.9372473731576 -19.28058163874004, 148.0070691141542 -19.31953725286389, 148.0062484971469 -19.39607782583935, 147.9355324866364 -19.43366207714437, 147.8656752683281 -19.39467649927332, 147.8665695364287 -19.31813664882304))",0,0,0
38,38,,,,,,,,,,,,,,,,,87180607.37,,,,"POLYGON ((148.0070691141542 -19.31953725286389, 148.0777114714825 -19.28192173675418, 148.1475712705332 -19.32081753501773, 148.1468243086769 -19.39735876845989, 148.076143891327 -19.43500355815189, 148.0062484971469 -19.39607782583935, 148.0070691141542 -19.31953725286389))",0,7,0
39,39,,,,,,,,3598564.86,,,,,,,,,,,,,"POLYGON ((148.1475712705332 -19.32081753501773, 148.2181780308252 -19.28314154229547, 148.2880757741577 -19.32197749217131, 148.2874024711461 -19.39851932401697, 148.2167577647868 -19.43622462256481, 148.1468243086769 -19.39735876845989, 148.1475712705332 -19.32081753501773))",0,0,0
40,40,,,,,,,,,,,,,,,,,4715152.056,,,,"POLYGON ((148.2880757741577 -19.32197749217131, 148.3586468199474 -19.28424105239917, 148.4285823935964 -19.3230171215039, 148.4279827527591 -19.3995594896856, 148.3573738750494 -19.43732526740922, 148.2874024711461 -19.39851932401697, 148.2880757741577 -19.32197749217131))",0,0,0
41,41,,,,,,,,,,,,6026779.194,,,,,,,,,"POLYGON ((146.5343837772594 -19.18403455765016, 146.6053364264289 -19.14705430903056, 146.6747370748513 -19.18657604324992, 146.6732193744865 -19.2631082291506, 146.602227544208 -19.30011738595727, 146.5327925979599 -19.26056543374378, 146.5343837772594 -19.18403455765016))",0,0,0
42,42,,,,,,,6161964.895,,,,,46081999.84,,603189.6752,,,,,,,"POLYGON ((146.6747370748513 -19.18657604324992, 146.7456554223917 -19.14953506399975, 146.8150951366405 -19.18899734399017, 146.8136509226989 -19.26553077779879, 146.7426935056495 -19.30260069864426, 146.6732193744865 -19.2631082291506, 146.6747370748513 -19.18657604324992))",0,3,0
43,43,,,,,,,116777992.7,,,,,60462379.64,,1895887.641,,,,,,,"POLYGON ((146.8150951366405 -19.18899734399017, 146.8859790636444 -19.1518956620638, 146.9554577320966 -19.19129845399469, 146.9540870117047 -19.26783307380298, 146.8831641269957 -19.30496373061863, 146.8136509226989 -19.26553077779879, 146.8150951366405 -19.18899734399017))",0,38,0
44,44,,,,,,,57446015.23,,,,,74182968.29,,,,,,,,,"POLYGON ((146.9554577320966 -19.19129845399469, 147.0263071198146 -19.15413609749646, 147.0958246306446 -19.19347936767854, 147.0945274105667 -19.27001511156999, 147.0236391771504 -19.30720647613667, 146.9540870117047 -19.26783307380298, 146.9554577320966 -19.19129845399469))",0,13,0
45,45,,,,,,,187659034.3,,,,,,,,,,,,,,"POLYGON ((147.0958246306446 -19.19347936767854, 147.1666393604866 -19.15625636486256, 147.2361956016669 -19.19554007974823, 147.234971888305 -19.27207688579814, 147.1641184249733 -19.30932892974681, 147.0945274105667 -19.27001511156999, 147.0958246306446 -19.19347936767854))",0,22,0
46,46,,,,,,,119605723.7,,,,,2064.559004,,,,,,,,,"POLYGON ((147.2361956016669 -19.19554007974823, 147.3069755552035 -19.15825645901822, 147.3765704145058 -19.19748058520169, 147.3754202138996 -19.27401839147787, 147.3046016392826 -19.31133108628951, 147.234971888305 -19.27207688579814, 147.2361956016669 -19.19554007974823))",0,10,0
47,47,,,,,,,1677143.51,,,,,23625850.2,,,,,,,,,"POLYGON ((147.3765704145058 -19.19748058520169, 147.4473154734691 -19.16013637511091, 147.5169488384657 -19.1993008793284, 147.5158721562925 -19.27583962389146, 147.4450885888577 -19.31321294089744, 147.3754202138996 -19.27401839147787, 147.3765704145058 -19.19748058520169))",0,1,0
48,48,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.5169488384657 -19.1993008793284, 147.5876588847508 -19.1618961085793, 147.6573306428155 -19.2010009577095, 147.6563274843898 -19.27754057861339, 147.5855790424407 -19.31497448899554, 147.5158721562925 -19.27583962389146, 147.5169488384657 -19.1993008793284))",0,0,0
49,49,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.6573306428155 -19.2010009577095, 147.7280055584814 -19.16353565515361, 147.7977155967905 -19.20258081621773, 147.7967859670643 -19.27912125151, 147.7260727687393 -19.31661572630084, 147.6563274843898 -19.27754057861339, 147.6573306428155 -19.2010009577095))",0,0,0
50,50,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.7977155967905 -19.20258081621773, 147.8683552640617 -19.16505501085534, 147.938103469595 -19.20404045101752, 147.9372473731576 -19.28058163874004, 147.8665695364287 -19.31813664882304, 147.7967859670643 -19.27912125151, 147.7977155967905 -19.20258081621773))",0,0,0
51,51,,,,,,,,30143466.82,,,,,,,,,14805542.61,,,,"POLYGON ((147.938103469595 -19.20404045101752, 148.0087077708623 -19.16645417199766, 148.0784940304048 -19.20537985856491, 148.0777114714825 -19.28192173675418, 148.0070691141542 -19.31953725286389, 147.9372473731576 -19.28058163874004, 147.938103469595 -19.20404045101752))",0,0,0
52,52,,,,,,,,67811327.36,,,,,,,,,69789301.57,,,,"POLYGON ((148.0784940304048 -19.20537985856491, 148.1490628482264 -19.1677331351851, 148.2188870483687 -19.20659903560802, 148.2181780308252 -19.28314154229547, 148.1475712705332 -19.32081753501773, 148.0777114714825 -19.28192173675418, 148.0784940304048 -19.20537985856491))",0,6,0
53,53,,,,,,,,41288189.98,,,,,,,,,42415507.94,,,,"POLYGON ((148.2188870483687 -19.20659903560802, 148.2894202654718 -19.16889189731395, 148.3592822926116 -19.20769797918646, 148.3586468199474 -19.28424105239917, 148.2880757741577 -19.32197749217131, 148.2181780308252 -19.28314154229547, 148.2188870483687 -19.20659903560802))",0,4,0
54,54,,,,,,,,,,,,,,,,,17565247.6,,,,"POLYGON ((148.3592822926116 -19.20769797918646, 148.4297797918932 -19.16993045557188, 148.4996795322363 -19.2086766866319, 148.499117607589 -19.2852202643928, 148.4285823935964 -19.3230171215039, 148.3586468199474 -19.28424105239917, 148.3592822926116 -19.20769797918646))",0,0,0
55,55,,,,,,,,,,,,3128309.736,,,,,,,,,"POLYGON ((146.3264120053877 -19.06520257554506, 146.3973595527271 -19.02831192351874, 146.4666476679754 -19.06792222542896, 146.4650223060824 -19.14445340317352, 146.3940354743483 -19.18137289335852, 146.3247132916307 -19.14173235273703, 146.3264120053877 -19.06520257554506))",0,0,0
56,56,,,,,,,41515949.25,,,,,68463167.91,,1266390.77,,,,,,,"POLYGON ((146.4666476679754 -19.06792222542896, 146.5375611437837 -19.03097084849536, 146.6068884284517 -19.07052179252656, 146.6053364264289 -19.14705430903056, 146.5343837772594 -19.18403455765016, 146.4650223060824 -19.14445340317352, 146.4666476679754 -19.06792222542896))",0,13,0
57,57,,,,,,,157343391.7,,,,,30285070.45,,11981.88375,,,,,,,"POLYGON ((146.6068884284517 -19.07052179252656, 146.6777677138694 -19.03350971837596, 146.7471340568987 -19.07300127053896, 146.7456554223917 -19.14953506399981, 146.6747370748513 -19.18657604324992, 146.6053364264289 -19.14705430903056, 146.6068884284517 -19.07052179252656))",0,27,0
58,58,,,,,,,179741864.3,,,,,164182.3777,,7734771.932,,,,,,,"POLYGON ((146.7471340568987 -19.07300127053896, 146.8179790332223 -19.03592852701164, 146.8873843233511 -19.07536065345802, 146.8859790636444 -19.15189566206381, 146.8150951366405 -19.18899734399017, 146.7456554223917 -19.14953506399981, 146.7471340568987 -19.07300127053896))",1,43,0
59,59,,,,,,,170994007.2,,,,,,,,,,,,,,"POLYGON ((146.8873843233511 -19.07536065345802, 146.9581948720339 -19.03822726854397, 147.0276389977974 -19.07759993556606, 147.0263071198146 -19.15413609749646, 146.9554577320966 -19.19129845399469, 146.8859790636444 -19.15189566206381, 146.8873843233511 -19.07536065345802))",0,14,0
60,60,,,,,,,83829330.41,,,,,,,,,,,,,,"POLYGON ((147.0276389977974 -19.07759993556606, 147.0984150004512 -19.04040593740487, 147.167897850183 -19.07971911143625, 147.1666393604866 -19.15625636486256, 147.0958246306446 -19.19347936767854, 147.0263071198146 -19.15413609749646, 147.0276389977974 -19.07759993556606))",0,5,0
61,61,,,,,,,4504907.174,,,,,,,,,,,,,,"POLYGON ((147.167897850183 -19.07971911143625, 147.2386391885788 -19.04246452831687, 147.308160650412 -19.0817181759325, 147.3069755552035 -19.15825645901827, 147.2361956016669 -19.19554007974823, 147.1666393604866 -19.15625636486256, 147.167897850183 -19.07971911143625))",0,0,0
62,62,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.308160650412 -19.0817181759325, 147.3788672064815 -19.04440303629303, 147.4484271683498 -19.08359712420952, 147.4473154734691 -19.16013637511095, 147.3765704145058 -19.19748058520169, 147.3069755552035 -19.15825645901827, 147.308160650412 -19.0817181759325))",0,0,0
63,63,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.4484271683498 -19.08359712420952, 147.5190988241866 -19.04622145663713, 147.5886971738249 -19.08535595171297, 147.5876588847508 -19.16189610857931, 147.5169488384657 -19.1993008793284, 147.4473154734691 -19.16013637511095, 147.4484271683498 -19.08359712420952))",0,0,0
64,64,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.5886971738249 -19.08535595171297, 147.6593338116854 -19.04791978494358, 147.7289704366318 -19.08699465417949, 147.7280055584814 -19.16353565515361, 147.6573306428155 -19.2010009577095, 147.5876588847508 -19.16189610857931, 147.5886971738249 -19.08535595171297))",0,0,0
65,65,,,,,,,,12442053.52,,,,,,,,,,,,,"POLYGON ((147.7289704366318 -19.08699465417949, 147.7995719389367 -19.04949801709766, 147.8692467265326 -19.08851322763669, 147.8683552640617 -19.16505501085541, 147.7977155967905 -19.20258081621773, 147.7280055584814 -19.16353565515361, 147.7289704366318 -19.08699465417949))",0,0,0
66,66,,,,,,,,131509175.4,,,,,,,,,519802.9447,,,,"POLYGON ((147.8692467265326 -19.08851322763669, 147.9398129758678 -19.05095614927541, 148.0095258132596 -19.08991166840313, 148.0087077708623 -19.16645417199766, 147.938103469595 -19.20404045101752, 147.8683552640617 -19.16505501085541, 147.8692467265326 -19.08851322763669))",0,9,0
67,67,,,,,,,,174457032.5,,,,,,,,,13186311.36,,,,"POLYGON ((148.0095258132596 -19.08991166840313, 148.0800566923777 -19.05229417794365, 148.149807466518 -19.09118997308872, 148.1490628482264 -19.16773313518515, 148.0784940304048 -19.20537985856491, 148.0087077708623 -19.16645417199766, 148.0095258132596 -19.08991166840313))",0,16,0
68,68,,,,,,,,173983507.4,,,,,,,,,13660023.84,,,,"POLYGON ((148.149807466518 -19.09118997308872, 148.2203028583388 -19.05351209986018, 148.2900914559871 -19.09234813859432, 148.2894202654718 -19.16889189731396, 148.2188870483687 -19.20659903560802, 148.1490628482264 -19.16773313518515, 148.149807466518 -19.09118997308872))",0,27,0
69,69,,,,,,,,32496692.63,,,,,,,,,125679074.5,,,,"POLYGON ((148.2900914559871 -19.09234813859432, 148.3605512435998 -19.05460991207373, 148.4303775513235 -19.09338616211189, 148.4297797918932 -19.16993045557194, 148.3592822926116 -19.20769797918646, 148.2894202654718 -19.16889189731396, 148.2900914559871 -19.09234813859432))",0,23,0
70,70,,,,,,,5174211.971,,,,,31958236.87,,,,,,,,,"POLYGON ((146.2588958367149 -18.94900291811178, 146.329804107923 -18.91214106780172, 146.3990189861797 -18.95178046242599, 146.3973595527271 -19.02831192351874, 146.3264120053877 -19.06520257554506, 146.2571631704124 -19.02553294988531, 146.2588958367149 -18.94900291811178))",0,2,0
71,71,,,,,,,138080893.2,,,,,43080003.55,,,,,,,,,"POLYGON ((146.3990189861797 -18.95178046242599, 146.4698932965303 -18.91485792074068, 146.5391473362256 -18.95443801977995, 146.5375611437837 -19.03097084849536, 146.4666476679754 -19.06792222542896, 146.3973595527271 -19.02831192351874, 146.3990189861797 -18.95178046242599))",0,22,0
72,72,,,,,,,186729216.3,,,,,,,892893.7261,,,,,,,"POLYGON ((146.5391473362256 -18.95443801977995, 146.609987567064 -18.91745481429621, 146.6792806574993 -18.95697558374418, 146.6777677138694 -19.03350971837596, 146.6068884284517 -19.07052179252656, 146.5375611437837 -19.03097084849536, 146.5391473362256 -18.95443801977995))",0,21,0
73,73,,,,,,,144188624.7,,,,,,,204488.7914,,,,,,,"POLYGON ((146.6792806574993 -18.95697558374418, 146.7500866903256 -18.9199317421886, 146.8194187205986 -18.95939314817904, 146.8179790332223 -19.03592852701164, 146.7471340568987 -19.07300127053896, 146.6777677138694 -19.03350971837596, 146.6792806574993 -18.95697558374418))",0,6,0
74,74,,,,,,,50118150.75,,,,,,,,,,,,,,"POLYGON ((146.8194187205986 -18.95939314817904, 146.8901904370689 -18.92228869842768, 146.9595612960747 -18.96169070723491, 146.9581948720339 -19.03822726854397, 146.8873843233511 -19.07536065345802, 146.8179790332223 -19.03592852701164, 146.8194187205986 -18.95939314817904))",0,0,0
75,75,,,,,,,,,,,,,,,,,,,,,"POLYGON ((146.9595612960747 -18.96169070723491, 147.0302985780022 -18.92452567731318, 147.0997081544345 -18.96386825535221, 147.0984150004512 -19.04040593740487, 147.0276389977974 -19.07759993556606, 146.9581948720339 -19.03822726854397, 146.9595612960747 -18.96169070723491))",0,0,0
76,76,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.0997081544345 -18.96386825535221, 147.1704108837909 -18.92664267343467, 147.2398590661426 -18.96592578726148, 147.2386391885788 -19.04246452831687, 147.167897850183 -19.07971911143625, 147.0984150004512 -19.04040593740487, 147.0997081544345 -18.96386825535221))",0,0,0
77,77,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.2398590661426 -18.96592578726148, 147.310527125059 -18.92863968167151, 147.3800138016241 -18.96786329798323, 147.3788672064815 -19.04440303629303, 147.308160650412 -19.0817181759325, 147.2386391885788 -19.04246452831687, 147.2398590661426 -18.96592578726148))",0,0,0
78,78,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.3800138016241 -18.96786329798323, 147.4506470723924 -18.9305166971931, 147.5201721312661 -18.96968078282842, 147.5190988241866 -19.04622145663713, 147.4484271683498 -19.08359712420952, 147.3788672064815 -19.04440303629303, 147.3800138016241 -18.96786329798323))",0,0,0
79,79,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.5201721312661 -18.96968078282842, 147.5907704963401 -18.93227371545885, 147.6603338254207 -18.9713782373981, 147.6593338116854 -19.04791978494358, 147.5886971738249 -19.08535595171297, 147.5190988241866 -19.04622145663713, 147.5201721312661 -18.96968078282842))",0,0,0
80,80,,,,,,,,82186904.67,,,,,,,,,19080490.33,,,,"POLYGON ((147.6603338254207 -18.9713782373981, 147.7308971674171 -18.93391073221833, 147.8004986544065 -18.97295565758377, 147.7995719389367 -19.04949801709766, 147.7289704366318 -19.08699465417949, 147.6593338116854 -19.04791978494358, 147.6603338254207 -18.9713782373981))",1,4,0
