id,cost,status,xloc,yloc
60,1,0,147.09712049323,-19.1169427635751
61,1,0,147.237418034422,-19.1190024145208
62,1,0,147.377719411404,-19.1209419207221
63,1,0,147.518024393841,-19.1227612774758
64,1,0,147.65833275136498,-19.1244604803697
65,1,0,147.798644253572,-19.1260395252827
66,1,0,147.93895867003,-19.127498408385197
67,1,0,148.079275770275,-19.1288371261385
68,1,0,148.21959532381902,-19.1300556752956
69,1,0,148.35991710014798,-19.13115405290069
70,1,0,146.32810894322398,-18.9886719357151
71,1,0,146.46827133057,-18.9913901864084
72,1,0,146.60843880781601,-18.9939884160484
73,1,0,146.74861114540198,-18.996466618346
74,1,0,146.88878811372498,-18.9988247873019
75,1,0,147.028969483132,-19.001062917207197
76,1,0,147.16915502393,-19.003181002643302
77,1,0,147.309344506383,-19.0051790384817
78,1,0,147.449537700717,-19.007057019884602
79,1,0,147.589734377121,-19.0088149423045
80,1,0,147.72993430575002,-19.010452801484497
81,1,0,147.87013725672702,-19.011970593458198
82,1,0,148.010343000146,-19.0133683145498
83,1,0,148.150551306072,-19.0146459613742
84,1,0,148.290761944546,-19.0158035308371
85,1,0,148.430974685585,-19.01684102013461
86,1,0,146.260626693054,-18.872472027352
87,1,0,146.400676686103,-18.875248143735305
88,1,0,146.54073187159,-18.8779043347951
89,1,0,146.68079202051902,-18.8804405941115
90,1,0,146.820856903848,-18.882856915554303
91,1,0,146.960926292486,-18.88515329328261
92,1,0,147.1009999573,-18.8873297217452
93,1,0,147.241077669114,-18.8893861956807
94,1,0,147.381159198712,-18.8913227101171
95,1,0,147.52124431683995,-18.8931392603725
96,1,0,147.661332794211,-18.8948358420544
97,1,0,147.801424401502,-18.8964124510608
98,1,0,147.941518909362,-18.897869083579
99,1,0,148.081616088409,-18.8992057360867
100,1,0,148.221715709237,-18.9004224053514
101,1,0,148.361817542415,-18.9015190884308
102,1,0,146.333189129012,-18.759076761514198
103,1,0,146.47313214917102,-18.7617908230139
104,1,0,146.61308023536,-18.764385048290602
