,FID,BIORE_102,BIORE_103,BIORE_114,BIORE_116,BIORE_117,BIORE_118,BIORE_119,BIORE_121,BIORE_13,BIORE_132,BIORE_142,BIORE_147,BIORE_15,BIORE_16,BIORE_23,BIORE_26,BIORE_27,BIORE_29,BIORE_3,BIORE_4,geometry,best_solution,select_freq
30,30.0,,,,,,,,,,,,17578132.3531318,,,,,,,,,"POLYGON ((146.8831641269957 -19.30496373061863, 146.9540870117047 -19.26783307380298, 147.0236391771504 -19.30720647613667, 147.0223031080802 -19.38374068852886, 146.9513412588005 -19.4209003567868, 146.8817544454236 -19.38149678624617, 146.8831641269957 -19.30496373061863))",0,14
31,31.0,,,,,,,67295551.7434232,,,,,49784149.3423198,,,,,,,,,"POLYGON ((147.0236391771504 -19.30720647613667, 147.0945274105667 -19.27001511156999, 147.1641184249733 -19.30932892974681, 147.162855975009 -19.38586423689081, 147.0919288893916 -19.42308464607274, 147.0223031080802 -19.38374068852886, 147.0236391771504 -19.30720647613667))",0,18
32,32.0,,,,,,,161475533.674425,,,,,25688034.000727,,,,,,,,,"POLYGON ((147.1641184249733 -19.30932892974681, 147.234971888305 -19.27207688579814, 147.3046016392826 -19.31133108628951, 147.3034128146648 -19.38786742616448, 147.2325206117034 -19.42514854778608, 147.162855975009 -19.38586423689081, 147.1641184249733 -19.30932892974681))",0,18
33,33.0,,,,,,,43577191.4529019,,,,,136280246.117947,,,,,,,,,"POLYGON ((147.3046016392826 -19.31133108628951, 147.3754202138996 -19.27401839147787, 147.4450885888577 -19.31321294089744, 147.4439733954631 -19.38975025147531, 147.3731161939888 -19.42709205690187, 147.3034128146648 -19.38786742616448, 147.3046016392826 -19.31133108628951))",0,18
34,34.0,,,,,,,,,,,,86756540.6376927,,,,,,,,,"POLYGON ((147.4450885888577 -19.31321294089744, 147.5158721562925 -19.27583962389146, 147.5855790424407 -19.31497448899554, 147.5845374857826 -19.39151270824116, 147.5137154044626 -19.42891516868818, 147.4439733954631 -19.38975025147531, 147.4450885888577 -19.31321294089744))",0,18
35,35.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.5855790424407 -19.31497448899554, 147.6563274843898 -19.27754057861339, 147.7260727687393 -19.31661572630084, 147.7251048539671 -19.39315479217266, 147.6543180113036 -19.43061787870593, 147.5845374857826 -19.39151270824116, 147.5855790424407 -19.31497448899554))",0,17
36,36.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.7260727687393 -19.31661572630084, 147.7967859670643 -19.27912125151, 147.8665695364287 -19.31813664882304, 147.8656752683281 -19.39467649927332, 147.7949237826569 -19.43220018280907, 147.7251048539671 -19.39315479217266, 147.7260727687393 -19.31661572630084))",0,19
37,37.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.8665695364287 -19.31813664882304, 147.9372473731576 -19.28058163874004, 148.0070691141542 -19.31953725286389, 148.0062484971469 -19.39607782583935, 147.9355324866364 -19.43366207714437, 147.8656752683281 -19.39467649927332, 147.8665695364287 -19.31813664882304))",0,19
38,38.0,,,,,,,,,,,,,,,,,87180607.3660693,,,,"POLYGON ((148.0070691141542 -19.31953725286389, 148.0777114714825 -19.28192173675418, 148.1475712705332 -19.32081753501773, 148.1468243086769 -19.39735876845989, 148.076143891327 -19.43500355815189, 148.0062484971469 -19.39607782583935, 148.0070691141542 -19.31953725286389))",0,19
39,39.0,,,,,,,,3598564.8604141,,,,,,,,,,,,,"POLYGON ((148.1475712705332 -19.32081753501773, 148.2181780308252 -19.28314154229547, 148.2880757741577 -19.32197749217131, 148.2874024711461 -19.39851932401697, 148.2167577647868 -19.43622462256481, 148.1468243086769 -19.39735876845989, 148.1475712705332 -19.32081753501773))",0,19
