,FID,geometry,best_solution,select_freq
22,22,"POLYGON ((147.3731161939888 -19.42709205690188, 147.4439733954631 -19.3897502514753, 147.5137154044626 -19.42891516868817, 147.5126353312517 -19.50545196463019, 147.4417394973072 -19.54282291726729, 147.3719623708874 -19.50362791175484, 147.3731161939888 -19.42709205690188))",0,1
23,23,"POLYGON ((147.5137154044626 -19.42891516868817, 147.5845374857826 -19.39151270824116, 147.6543180113036 -19.43061787870598, 147.6533116933313 -19.50715555360592, 147.5824510928775 -19.54458719408213, 147.5126353312517 -19.50545196463019, 147.5137154044626 -19.42891516868817))",0,2
24,24,"POLYGON ((147.6543180113036 -19.43061787870598, 147.7251048539671 -19.39315479217267, 147.7949237826569 -19.43220018280902, 147.7939912249065 -19.50873867452973, 147.7231659766443 -19.54623097379425, 147.6533116933313 -19.50715555360592, 147.6543180113036 -19.43061787870598))",0,0
25,25,"POLYGON ((147.7949237826569 -19.43220018280902, 147.8656752683281 -19.39467649927332, 147.9355324866364 -19.43366207714435, 147.9346736937261 -19.51020132354266, 147.8638839161889 -19.54775425239498, 147.7939912249065 -19.50873867452973, 147.7949237826569 -19.43220018280902))",0,0
26,26,"POLYGON ((147.9355324866364 -19.43366207714435, 148.0062484971469 -19.39607782583935, 148.076143891327 -19.43500355815194, 148.0753588675099 -19.51154349707921, 148.0046046790627 -19.54915702616923, 147.9346736937261 -19.51020132354266, 147.9355324866364 -19.43366207714435))",0,0
27,27,"POLYGON ((148.076143891327 -19.43500355815194, 148.1468243086769 -19.39735876845989, 148.2167577647868 -19.43622462256481, 148.2160465139508 -19.51276519186763, 148.1453280327887 -19.55043929169578, 148.0753588675099 -19.51154349707921, 148.076143891327 -19.43500355815194))",0,0
28,28,"POLYGON ((148.2167577647868 -19.43622462256481, 148.2874024711461 -19.39851932401696, 148.3573738750494 -19.43732526740922, 148.3567364007172 -19.5138664049295, 148.2860537448646 -19.55160104584719, 148.2160465139508 -19.51276519186763, 148.2167577647868 -19.43622462256481))",0,0
29,29,"POLYGON ((148.3573738750494 -19.43732526740922, 148.4279827527591 -19.39955948968559, 148.4979919901263 -19.43830549000472, 148.4974282954554 -19.51484713358036, 148.4267815827644 -19.5526422857898, 148.3567364007172 -19.5138664049295, 148.3573738750494 -19.43732526740922))",0,0
30,30,"POLYGON ((146.8831641269957 -19.30496373061862, 146.9540870117048 -19.26783307380298, 147.0236391771504 -19.30720647613667, 147.0223031080802 -19.38374068852885, 146.9513412588005 -19.4209003567868, 146.8817544454236 -19.38149678624612, 146.8831641269957 -19.30496373061862))",0,0
31,31,"POLYGON ((147.0236391771504 -19.30720647613667, 147.0945274105667 -19.27001511156998, 147.1641184249733 -19.30932892974682, 147.162855975009 -19.38586423689079, 147.0919288893916 -19.42308464607274, 147.0223031080803 -19.38374068852885, 147.0236391771504 -19.30720647613667))",0,1
32,32,"POLYGON ((147.1641184249733 -19.30932892974682, 147.234971888305 -19.27207688579814, 147.3046016392826 -19.31133108628949, 147.3034128146648 -19.3878674261645, 147.2325206117034 -19.42514854778609, 147.162855975009 -19.38586423689079, 147.1641184249733 -19.30932892974682))",0,0
33,33,"POLYGON ((147.3046016392826 -19.31133108628949, 147.3754202138996 -19.27401839147782, 147.4450885888577 -19.31321294089744, 147.4439733954631 -19.3897502514753, 147.3731161939888 -19.42709205690188, 147.3034128146648 -19.3878674261645, 147.3046016392826 -19.31133108628949))",0,3
34,34,"POLYGON ((147.4450885888577 -19.31321294089744, 147.5158721562925 -19.27583962389146, 147.5855790424407 -19.31497448899552, 147.5845374857826 -19.39151270824116, 147.5137154044626 -19.42891516868817, 147.4439733954631 -19.3897502514753, 147.4450885888577 -19.31321294089744))",0,0
35,35,"POLYGON ((147.5855790424407 -19.31497448899552, 147.6563274843898 -19.27754057861334, 147.7260727687393 -19.31661572630084, 147.7251048539671 -19.39315479217267, 147.6543180113036 -19.43061787870598, 147.5845374857826 -19.39151270824116, 147.5855790424407 -19.31497448899552))",0,0
36,36,"POLYGON ((147.7260727687393 -19.31661572630084, 147.7967859670643 -19.27912125151, 147.8665695364287 -19.31813664882304, 147.8656752683281 -19.39467649927332, 147.7949237826569 -19.43220018280902, 147.7251048539671 -19.39315479217267, 147.7260727687393 -19.31661572630084))",0,0
37,37,"POLYGON ((147.8665695364287 -19.31813664882304, 147.9372473731576 -19.28058163874002, 148.0070691141542 -19.31953725286389, 148.0062484971469 -19.39607782583935, 147.9355324866364 -19.43366207714435, 147.8656752683281 -19.39467649927332, 147.8665695364287 -19.31813664882304))",0,0
38,38,"POLYGON ((148.0070691141542 -19.31953725286389, 148.0777114714825 -19.28192173675419, 148.1475712705332 -19.32081753501773, 148.1468243086769 -19.39735876845989, 148.076143891327 -19.43500355815194, 148.0062484971469 -19.39607782583935, 148.0070691141542 -19.31953725286389))",0,1
39,39,"POLYGON ((148.1475712705332 -19.32081753501773, 148.2181780308252 -19.28314154229548, 148.2880757741577 -19.3219774921713, 148.2874024711461 -19.39851932401696, 148.2167577647868 -19.43622462256481, 148.1468243086769 -19.39735876845989, 148.1475712705332 -19.32081753501773))",0,0
40,40,"POLYGON ((148.2880757741577 -19.3219774921713, 148.3586468199474 -19.28424105239918, 148.4285823935964 -19.32301712150387, 148.4279827527591 -19.39955948968559, 148.3573738750494 -19.43732526740922, 148.2874024711461 -19.39851932401696, 148.2880757741577 -19.3219774921713))",0,0
41,41,"POLYGON ((146.5343837772594 -19.18403455765017, 146.6053364264289 -19.1470543090305, 146.6747370748513 -19.18657604324993, 146.6732193744865 -19.26310822915059, 146.602227544208 -19.30011738595728, 146.5327925979599 -19.26056543374378, 146.5343837772594 -19.18403455765017))",0,0
42,42,"POLYGON ((146.6747370748513 -19.18657604324993, 146.7456554223917 -19.14953506399975, 146.8150951366405 -19.18899734399017, 146.8136509226989 -19.26553077779874, 146.7426935056495 -19.30260069864423, 146.6732193744865 -19.26310822915059, 146.6747370748513 -19.18657604324993))",0,0
43,43,"POLYGON ((146.8150951366405 -19.18899734399017, 146.8859790636444 -19.1518956620638, 146.9554577320966 -19.19129845399469, 146.9540870117048 -19.26783307380298, 146.8831641269957 -19.30496373061862, 146.8136509226989 -19.26553077779874, 146.8150951366405 -19.18899734399017))",0,4
44,44,"POLYGON ((146.9554577320966 -19.19129845399469, 147.0263071198146 -19.15413609749645, 147.0958246306446 -19.19347936767855, 147.0945274105667 -19.27001511156994, 147.0236391771504 -19.30720647613667, 146.9540870117048 -19.26783307380298, 146.9554577320966 -19.19129845399469))",1,1
45,45,"POLYGON ((147.0958246306446 -19.19347936767855, 147.1666393604866 -19.15625636486254, 147.2361956016669 -19.19554007974823, 147.234971888305 -19.27207688579814, 147.1641184249733 -19.30932892974682, 147.0945274105667 -19.27001511156998, 147.0958246306446 -19.19347936767855))",0,1
46,46,"POLYGON ((147.2361956016669 -19.19554007974823, 147.3069755552035 -19.15825645901816, 147.3765704145058 -19.19748058520164, 147.3754202138996 -19.27401839147782, 147.3046016392826 -19.31133108628949, 147.234971888305 -19.27207688579814, 147.2361956016669 -19.19554007974823))",0,0
47,47,"POLYGON ((147.3765704145058 -19.19748058520164, 147.4473154734691 -19.16013637511089, 147.5169488384657 -19.1993008793284, 147.5158721562925 -19.27583962389146, 147.4450885888577 -19.31321294089744, 147.3754202138996 -19.27401839147782, 147.3765704145058 -19.19748058520164))",0,0
48,48,"POLYGON ((147.5169488384657 -19.1993008793284, 147.5876588847508 -19.1618961085793, 147.6573306428155 -19.20100095770951, 147.6563274843898 -19.27754057861334, 147.5855790424407 -19.31497448899552, 147.5158721562925 -19.27583962389146, 147.5169488384657 -19.1993008793284))",0,0
49,49,"POLYGON ((147.6573306428155 -19.20100095770951, 147.7280055584814 -19.16353565515356, 147.7977155967905 -19.20258081621773, 147.7967859670643 -19.27912125151, 147.7260727687393 -19.31661572630084, 147.6563274843898 -19.27754057861334, 147.6573306428155 -19.20100095770951))",0,0
50,50,"POLYGON ((147.7977155967905 -19.20258081621773, 147.8683552640617 -19.1650550108553, 147.9381034695951 -19.20404045101752, 147.9372473731576 -19.28058163874002, 147.8665695364287 -19.31813664882304, 147.7967859670643 -19.27912125151, 147.7977155967905 -19.20258081621773))",0,0
51,51,"POLYGON ((147.9381034695951 -19.20404045101752, 148.0087077708623 -19.16645417199765, 148.0784940304049 -19.20537985856492, 148.0777114714825 -19.28192173675419, 148.0070691141542 -19.31953725286389, 147.9372473731576 -19.28058163874002, 147.9381034695951 -19.20404045101752))",0,0
52,52,"POLYGON ((148.0784940304049 -19.20537985856492, 148.1490628482264 -19.16773313518505, 148.2188870483687 -19.20659903560797, 148.2181780308252 -19.28314154229548, 148.1475712705332 -19.32081753501773, 148.0777114714825 -19.28192173675419, 148.0784940304049 -19.20537985856492))",0,0
53,53,"POLYGON ((148.2188870483687 -19.20659903560797, 148.2894202654718 -19.16889189731395, 148.3592822926116 -19.20769797918645, 148.3586468199474 -19.28424105239918, 148.2880757741577 -19.3219774921713, 148.2181780308252 -19.28314154229548, 148.2188870483687 -19.20659903560797))",0,1
54,54,"POLYGON ((148.3592822926116 -19.20769797918645, 148.4297797918932 -19.16993045557189, 148.4996795322363 -19.2086766866319, 148.499117607589 -19.28522026439279, 148.4285823935964 -19.32301712150387, 148.3586468199474 -19.28424105239918, 148.3592822926116 -19.20769797918645))",0,0
55,55,"POLYGON ((146.3264120053877 -19.06520257554505, 146.3973595527271 -19.02831192351875, 146.4666476679754 -19.06792222542895, 146.4650223060824 -19.14445340317348, 146.3940354743483 -19.18137289335846, 146.3247132916307 -19.14173235273704, 146.3264120053877 -19.06520257554505))",0,0
56,56,"POLYGON ((146.4666476679754 -19.06792222542895, 146.5375611437837 -19.03097084849534, 146.6068884284517 -19.07052179252649, 146.6053364264289 -19.14705430903055, 146.5343837772594 -19.18403455765017, 146.4650223060824 -19.14445340317348, 146.4666476679754 -19.06792222542895))",0,4
57,57,"POLYGON ((146.6068884284517 -19.07052179252649, 146.6777677138694 -19.033509718376, 146.7471340568987 -19.07300127053896, 146.7456554223917 -19.14953506399981, 146.6747370748513 -19.18657604324993, 146.6053364264289 -19.14705430903055, 146.6068884284517 -19.07052179252649))",0,5
58,58,"POLYGON ((146.7471340568987 -19.07300127053896, 146.8179790332223 -19.03592852701164, 146.8873843233511 -19.07536065345802, 146.8859790636444 -19.15189566206381, 146.8150951366405 -19.18899734399017, 146.7456554223917 -19.14953506399981, 146.7471340568987 -19.07300127053896))",0,5
59,59,"POLYGON ((146.8873843233511 -19.07536065345802, 146.9581948720339 -19.03822726854399, 147.0276389977974 -19.07759993556606, 147.0263071198146 -19.15413609749646, 146.9554577320966 -19.19129845399469, 146.8859790636444 -19.15189566206381, 146.8873843233511 -19.07536065345802))",0,2
60,60,"POLYGON ((147.0276389977974 -19.07759993556606, 147.0984150004512 -19.04040593740487, 147.167897850183 -19.07971911143624, 147.1666393604866 -19.15625636486255, 147.0958246306446 -19.19347936767855, 147.0263071198146 -19.15413609749646, 147.0276389977974 -19.07759993556606))",0,0
61,61,"POLYGON ((147.167897850183 -19.07971911143624, 147.2386391885788 -19.04246452831687, 147.308160650412 -19.08171817593244, 147.3069755552035 -19.15825645901821, 147.2361956016669 -19.19554007974823, 147.1666393604866 -19.15625636486255, 147.167897850183 -19.07971911143624))",0,0
62,62,"POLYGON ((147.308160650412 -19.08171817593244, 147.3788672064815 -19.04440303629302, 147.4484271683498 -19.08359712420954, 147.4473154734691 -19.16013637511091, 147.3765704145058 -19.19748058520164, 147.3069755552035 -19.15825645901821, 147.308160650412 -19.08171817593244))",0,0
63,63,"POLYGON ((147.4484271683498 -19.08359712420954, 147.5190988241866 -19.04622145663713, 147.5886971738249 -19.08535595171297, 147.5876588847508 -19.1618961085793, 147.5169488384657 -19.1993008793284, 147.4473154734691 -19.16013637511091, 147.4484271683498 -19.08359712420954))",0,0
64,64,"POLYGON ((147.5886971738249 -19.08535595171297, 147.6593338116855 -19.04791978494358, 147.7289704366318 -19.08699465417947, 147.7280055584814 -19.16353565515361, 147.6573306428155 -19.20100095770951, 147.5876588847508 -19.1618961085793, 147.5886971738249 -19.08535595171297))",0,0
65,65,"POLYGON ((147.7289704366318 -19.08699465417947, 147.7995719389367 -19.04949801709772, 147.8692467265326 -19.08851322763669, 147.8683552640617 -19.16505501085535, 147.7977155967905 -19.20258081621773, 147.7280055584814 -19.16353565515361, 147.7289704366318 -19.08699465417947))",0,0
66,66,"POLYGON ((147.8692467265326 -19.08851322763669, 147.9398129758678 -19.05095614927541, 148.0095258132597 -19.08991166840318, 148.0087077708623 -19.16645417199766, 147.9381034695951 -19.20404045101752, 147.8683552640617 -19.16505501085535, 147.8692467265326 -19.08851322763669))",0,1
67,67,"POLYGON ((148.0095258132597 -19.08991166840318, 148.0800566923777 -19.0522941779436, 148.149807466518 -19.09118997308872, 148.1490628482264 -19.1677331351851, 148.0784940304049 -19.20537985856492, 148.0087077708623 -19.16645417199766, 148.0095258132597 -19.08991166840318))",0,1
68,68,"POLYGON ((148.149807466518 -19.09118997308872, 148.2203028583388 -19.05351209986023, 148.2900914559871 -19.09234813859428, 148.2894202654718 -19.16889189731395, 148.2188870483687 -19.20659903560797, 148.1490628482264 -19.1677331351851, 148.149807466518 -19.09118997308872))",0,2
69,69,"POLYGON ((148.2900914559871 -19.09234813859428, 148.3605512435998 -19.05460991207373, 148.4303775513235 -19.09338616211189, 148.4297797918932 -19.16993045557193, 148.3592822926116 -19.20769797918645, 148.2894202654718 -19.16889189731396, 148.2900914559871 -19.09234813859428))",0,4
