habitat,id1,id2,value
cobble,pu_071,pu_005,0.0
cobble,pu_072,pu_005,0.0
cobble,pu_073,pu_005,0.0
cobble,pu_074,pu_005,0.0
cobble,pu_075,pu_005,0.0
cobble,pu_076,pu_005,0.0
cobble,pu_077,pu_005,0.0
cobble,pu_078,pu_005,0.0
cobble,pu_079,pu_005,0.0
cobble,pu_080,pu_005,0.0
cobble,pu_001,pu_006,0.0
cobble,pu_002,pu_006,0.0
cobble,pu_003,pu_006,0.0
cobble,pu_004,pu_006,0.0
cobble,pu_005,pu_006,0.0
cobble,pu_006,pu_006,0.0
cobble,pu_007,pu_006,0.1931296365
cobble,pu_008,pu_006,0.0482824091
cobble,pu_009,pu_006,0.0
cobble,pu_010,pu_006,0.0
cobble,pu_011,pu_006,0.0
cobble,pu_012,pu_006,0.0
cobble,pu_013,pu_006,0.1140441054
cobble,pu_014,pu_006,0.1140441055
cobble,pu_015,pu_006,0.0
cobble,pu_016,pu_006,0.0
cobble,pu_017,pu_006,0.0
cobble,pu_018,pu_006,0.0
cobble,pu_019,pu_006,0.0
cobble,pu_020,pu_006,0.0
cobble,pu_021,pu_006,0.0
cobble,pu_022,pu_006,0.0
cobble,pu_023,pu_006,0.0
cobble,pu_024,pu_006,0.0
cobble,pu_025,pu_006,0.0
cobble,pu_026,pu_006,0.0
cobble,pu_027,pu_006,0.0
cobble,pu_028,pu_006,0.0
cobble,pu_029,pu_006,0.0
cobble,pu_030,pu_006,0.0
cobble,pu_031,pu_006,0.0
cobble,pu_032,pu_006,0.0
cobble,pu_033,pu_006,0.0
cobble,pu_034,pu_006,0.0
cobble,pu_035,pu_006,0.0
cobble,pu_036,pu_006,0.0
cobble,pu_037,pu_006,2.7975e-06
cobble,pu_038,pu_006,2.7975e-06
cobble,pu_039,pu_006,0.0
cobble,pu_040,pu_006,0.0
cobble,pu_041,pu_006,0.0
cobble,pu_042,pu_006,0.0
cobble,pu_043,pu_006,0.0
cobble,pu_044,pu_006,2.7701e-06
cobble,pu_045,pu_006,2.7701e-06
cobble,pu_046,pu_006,2.7701e-06
cobble,pu_047,pu_006,0.0
cobble,pu_048,pu_006,0.0
cobble,pu_049,pu_006,0.0
cobble,pu_050,pu_006,0.0
cobble,pu_051,pu_006,2.7226e-06
cobble,pu_052,pu_006,2.7430000000000002e-06
cobble,pu_053,pu_006,0.0
cobble,pu_054,pu_006,0.0
cobble,pu_055,pu_006,0.0
cobble,pu_056,pu_006,0.0
cobble,pu_057,pu_006,2.6765e-06
cobble,pu_058,pu_006,2.6963e-06
cobble,pu_059,pu_006,2.7163e-06
cobble,pu_060,pu_006,0.0
cobble,pu_061,pu_006,0.0
cobble,pu_062,pu_006,0.0
cobble,pu_063,pu_006,0.0
cobble,pu_064,pu_006,0.0
cobble,pu_065,pu_006,2.6509e-06
cobble,pu_066,pu_006,2.6703e-06
cobble,pu_067,pu_006,2.69e-06
cobble,pu_068,pu_006,0.0
cobble,pu_069,pu_006,0.0
cobble,pu_070,pu_006,0.0
cobble,pu_071,pu_006,0.0
cobble,pu_072,pu_006,0.0
cobble,pu_073,pu_006,2.6448e-06
cobble,pu_074,pu_006,2.6641e-06
cobble,pu_075,pu_006,2.6641e-06
cobble,pu_076,pu_006,0.0
cobble,pu_077,pu_006,0.0
cobble,pu_078,pu_006,0.0
cobble,pu_079,pu_006,0.0
cobble,pu_080,pu_006,0.0
cobble,pu_001,pu_007,0.0
cobble,pu_002,pu_007,0.0
cobble,pu_003,pu_007,0.0
cobble,pu_004,pu_007,0.0
cobble,pu_005,pu_007,0.0
cobble,pu_006,pu_007,0.1931296365
cobble,pu_007,pu_007,0.0
cobble,pu_008,pu_007,0.1931296364
cobble,pu_009,pu_007,0.0
cobble,pu_010,pu_007,0.0
cobble,pu_011,pu_007,0.0
cobble,pu_012,pu_007,0.0
cobble,pu_013,pu_007,0.0365200852
cobble,pu_014,pu_007,0.1140441055
cobble,pu_015,pu_007,0.0
cobble,pu_016,pu_007,0.0
cobble,pu_017,pu_007,0.0
cobble,pu_018,pu_007,0.0
cobble,pu_019,pu_007,0.0
cobble,pu_020,pu_007,0.0
cobble,pu_021,pu_007,0.0
cobble,pu_022,pu_007,0.0
cobble,pu_023,pu_007,0.0
cobble,pu_024,pu_007,0.0
cobble,pu_025,pu_007,0.0
cobble,pu_026,pu_007,0.0
cobble,pu_027,pu_007,0.0
cobble,pu_028,pu_007,0.0
cobble,pu_029,pu_007,0.0
cobble,pu_030,pu_007,0.0
cobble,pu_031,pu_007,0.0
cobble,pu_032,pu_007,0.0
cobble,pu_033,pu_007,0.0
cobble,pu_034,pu_007,0.0
cobble,pu_035,pu_007,0.0
cobble,pu_036,pu_007,0.0
cobble,pu_037,pu_007,2.7975e-06
cobble,pu_038,pu_007,2.7975e-06
cobble,pu_039,pu_007,0.0
cobble,pu_040,pu_007,0.0
cobble,pu_041,pu_007,0.0
cobble,pu_042,pu_007,0.0
cobble,pu_043,pu_007,0.0
cobble,pu_044,pu_007,2.7701e-06
cobble,pu_045,pu_007,2.7701e-06
cobble,pu_046,pu_007,2.7701e-06
cobble,pu_047,pu_007,0.0
