time,id1,id2,value
2000,pu_009,pu_013,0.131800224
2000,pu_010,pu_013,0.103890697
2000,pu_011,pu_013,0.017927457
2000,pu_012,pu_013,0.004084004
2000,pu_013,pu_013,0.154467238
2000,pu_014,pu_013,0.126526156
2000,pu_015,pu_013,0.055413419
2000,pu_016,pu_013,0.02670197
2000,pu_001,pu_014,0.005374139
2000,pu_002,pu_014,0.000431985
2000,pu_003,pu_014,0.000431985
2000,pu_004,pu_014,0.002861337
2000,pu_005,pu_014,0.024090326
2000,pu_006,pu_014,0.003642936
2000,pu_007,pu_014,0.003642936
2000,pu_008,pu_014,0.011534605
2000,pu_009,pu_014,0.131800224
2000,pu_010,pu_014,0.103890697
2000,pu_011,pu_014,0.103890697
2000,pu_012,pu_014,0.045571166
2000,pu_013,pu_014,0.154467238
2000,pu_014,pu_014,0.126526156
2000,pu_015,pu_014,0.126526156
2000,pu_016,pu_014,0.077403686
2000,pu_001,pu_015,0.002861337
2000,pu_002,pu_015,0.000431985
2000,pu_003,pu_015,0.000431985
2000,pu_004,pu_015,0.005374139
2000,pu_005,pu_015,0.011534605
2000,pu_006,pu_015,0.003642936
2000,pu_007,pu_015,0.003642936
2000,pu_008,pu_015,0.024090326
2000,pu_009,pu_015,0.045571166
2000,pu_010,pu_015,0.103890697
2000,pu_011,pu_015,0.103890697
2000,pu_012,pu_015,0.131800224
2000,pu_013,pu_015,0.077403686
2000,pu_014,pu_015,0.126526156
2000,pu_015,pu_015,0.126526156
2000,pu_016,pu_015,0.154467238
2000,pu_001,pu_016,0
2000,pu_002,pu_016,0
2000,pu_003,pu_016,0.000431985
2000,pu_004,pu_016,0.005374139
2000,pu_005,pu_016,0
2000,pu_006,pu_016,0
2000,pu_007,pu_016,0.003642936
2000,pu_008,pu_016,0.024090326
2000,pu_009,pu_016,0.004084004
2000,pu_010,pu_016,0.017927457
2000,pu_011,pu_016,0.103890697
2000,pu_012,pu_016,0.131800224
2000,pu_013,pu_016,0.02670197
2000,pu_014,pu_016,0.055413419
2000,pu_015,pu_016,0.126526156
2000,pu_016,pu_016,0.154467238
2001,pu_001,pu_001,0.220367238
2001,pu_002,pu_001,0.198322888
2001,pu_003,pu_001,0.146026156
2001,pu_004,pu_001,0.083275748
2001,pu_005,pu_001,0.065713419
2001,pu_006,pu_001,0.07698277
2001,pu_007,pu_001,0.03050197
2001,pu_008,pu_001,0.04600197
2001,pu_009,pu_001,0.183067238
2001,pu_010,pu_001,0.157710133
2001,pu_011,pu_001,0.145042175
2001,pu_012,pu_001,0.049613419
2001,pu_013,pu_001,0.092906338
2001,pu_014,pu_001,0.01260197
2001,pu_015,pu_001,0.03550197
2001,pu_016,pu_001,-0.0208
2001,pu_001,pu_002,0.174415751
2001,pu_002,pu_002,0.19498024
2001,pu_003,pu_002,0.14008024
2001,pu_004,pu_002,0.118613541
2001,pu_005,pu_002,0.16758532
2001,pu_006,pu_002,0.153097033
2001,pu_007,pu_002,0.146797033
2001,pu_008,pu_002,0.047916372
2001,pu_009,pu_002,0.062677573
2001,pu_010,pu_002,0.014204187
2001,pu_011,pu_002,0.031104187
2001,pu_012,pu_002,0.022190282
2001,pu_013,pu_002,0.034989893
2001,pu_014,pu_002,0.018732483
2001,pu_015,pu_002,0.004632483
2001,pu_016,pu_002,0.015769725
2001,pu_001,pu_003,0.100913541
2001,pu_002,pu_003,0.15868024
2001,pu_003,pu_003,0.15428024
2001,pu_004,pu_003,0.192215751
2001,pu_005,pu_003,0.038916372
2001,pu_006,pu_003,0.151797033
2001,pu_007,pu_003,0.138497033
2001,pu_008,pu_003,0.15088532
2001,pu_009,pu_003,-0.001409718
2001,pu_010,pu_003,-0.002995813
2001,pu_011,pu_003,0.026204187
2001,pu_012,pu_003,0.053477573
2001,pu_013,pu_003,-0.003130275
2001,pu_014,pu_003,0.012532483
2001,pu_015,pu_003,0.035332483
2001,pu_016,pu_003,0.032589893
2001,pu_001,pu_004,0.050793537
