id	cost	status	xloc	yloc
115	1	0	145.764	-15.315
116	1	0	145.636	-15.318
117	1	0	145.647	-15.330
118	1	0	145.753	-15.334
119	1	0	145.782	-15.365
120	1	0	145.586	-15.359
121	1	0	145.765	-15.389
122	1	0	145.431	-15.413
123	1	0	145.770	-15.401
124	1	0	145.509	-15.428
125	1	0	145.799	-15.434
126	1	0	145.614	-15.427
127	1	0	145.659	-15.429
128	1	0	145.676	-15.461
129	1	0	145.419	-15.473
130	1	0	145.803	-15.490
131	1	0	145.501	-15.484
132	1	0	145.655	-15.485
133	1	0	145.289	-15.484
134	1	0	145.618	-15.503
135	1	0	145.328	-15.505
136	1	0	145.548	-15.507
137	1	0	145.527	-15.553
138	1	0	145.779	-15.518
139	1	0	145.781	-15.530
140	1	0	145.353	-15.535
141	1	0	145.641	-15.535
142	1	0	145.794	-15.559
143	1	0	145.303	-15.546
144	1	0	145.651	-15.558
145	1	0	145.597	-15.559
146	1	0	145.627	-15.609
147	1	0	145.515	-15.609
148	1	0	145.804	-15.607
149	1	0	145.499	-15.691
150	1	0	145.508	-15.630
151	1	0	145.805	-15.648
152	1	0	145.717	-15.647
153	1	0	145.429	-15.644
154	1	0	145.395	-15.709
155	1	0	145.439	-15.706
156	1	0	145.429	-15.707
157	1	0	145.405	-15.710
158	1	0	145.798	-15.719
159	1	0	145.456	-15.734
160	1	0	145.438	-15.742
161	1	0	145.779	-15.748
162	1	0	145.581	-15.778
163	1	0	145.797	-15.792
164	1	0	145.819	-15.827
165	1	0	145.773	-15.822
166	1	0	145.794	-15.876
167	1	0	145.574	-15.874
168	1	0	145.658	-15.906
169	1	0	145.396	-15.912
170	1	0	145.818	-15.949
171	1	0	145.670	-15.974
172	1	0	145.831	-15.992
173	1	0	145.766	-16.006
174	1	0	145.791	-16.019
175	1	0	145.711	-16.031
176	1	0	145.651	-16.045
177	1	0	145.736	-16.056
178	1	0	145.836	-16.107
179	1	0	145.724	-16.079
180	1	0	145.757	-16.076
181	1	0	145.696	-16.193
182	1	0	145.890	-16.216
183	1	0	145.639	-16.180
184	1	0	145.793	-16.212
185	1	0	145.809	-16.325
186	1	0	145.769	-16.353
187	1	0	145.767	-16.414
188	1	0	145.565	-16.386
189	1	0	145.427	-16.397
190	1	0	145.998	-16.429
191	1	0	145.989	-16.466
192	1	0	146.013	-16.520
193	1	0	145.527	-16.524
194	1	0	145.542	-16.529
195	1	0	145.861	-16.545
196	1	0	146.018	-16.583
197	1	0	145.551	-16.557
198	1	0	145.532	-16.565
199	1	0	145.981	-16.581
200	1	0	145.935	-16.641
201	1	0	145.993	-16.653
202	1	0	146.052	-16.700
203	1	0	145.940	-16.673
204	1	0	146.254	-16.689
205	1	0	145.686	-16.729
206	1	0	145.688	-16.734
207	1	0	146.272	-16.736
208	1	0	145.992	-16.768
209	1	0	146.273	-16.790
210	1	0	146.185	-16.803
211	1	0	146.216	-16.873
212	1	0	146.352	-16.854
213	1	0	146.398	-16.875
214	1	0	146.249	-16.915
215	1	0	146.450	-16.938
216	1	0	146.208	-16.938
217	1	0	146.217	-17.014
218	1	0	146.186	-17.073
219	1	0	146.342	-17.104
220	1	0	146.410	-17.099
221	1	0	146.469	-17.126
222	1	0	146.011	-17.150
223	1	0	146.292	-17.184
224	1	0	146.368	-17.195
225	1	0	146.077	-17.211
226	1	0	146.483	-17.233
227	1	0	146.092	-17.224
228	1	0	146.366	-17.294
229	1	0	146.443	-17.288
230	1	0	146.390	-17.392
231	1	0	146.545	-17.431
232	1	0	146.507	-17.441
233	1	0	146.480	-17.442
234	1	0	146.457	-17.453
235	1	0	146.459	-17.475
236	1	0	146.391	-17.484
237	1	0	146.525	-17.524
238	1	0	146.379	-17.529
239	1	0	146.578	-17.580
240	1	0	146.453	-17.611
241	1	0	146.466	-17.655
242	1	0	146.158	-17.654
