"","id1","id2","boundary"
"315","62","61",1
"316","76","61",1
"317","77","61",1
"318","46","62",1
"319","47","62",1
"320","61","62",1
"321","63","62",1
"322","77","62",1
"323","78","62",1
"324","47","63",1
"325","48","63",1
"326","62","63",1
"327","64","63",1
"328","78","63",1
"329","79","63",1
"330","48","64",1
"331","49","64",1
"332","63","64",1
"333","65","64",1
"334","79","64",1
"335","80","64",1
"336","49","65",1
"337","50","65",1
"338","64","65",1
"339","66","65",1
"340","80","65",1
"341","81","65",1
"342","50","66",1
"343","51","66",1
"344","65","66",1
"345","67","66",1
"346","81","66",1
"347","82","66",1
"348","51","67",1
"349","52","67",1
"350","66","67",1
"351","68","67",1
"352","82","67",1
"353","83","67",1
"354","52","68",1
"355","53","68",1
"356","67","68",1
"357","69","68",1
"358","83","68",1
"359","84","68",1
"360","53","69",1
"361","54","69",1
"362","68","69",1
"363","70","69",1
"364","84","69",1
"365","85","69",1
"366","54","70",1
"367","55","70",1
"368","69","70",1
"369","85","70",1
"370","86","70",1
"371","56","71",1
"372","72","71",1
"373","87","71",1
"374","88","71",1
"375","56","72",1
"376","57","72",1
"377","71","72",1
"378","73","72",1
"379","88","72",1
"380","89","72",1
"381","57","73",1
"382","58","73",1
"383","72","73",1
"384","74","73",1
"385","89","73",1
"386","90","73",1
"387","58","74",1
"388","59","74",1
"389","73","74",1
"390","75","74",1
"391","90","74",1
"392","91","74",1
"393","59","75",1
"394","60","75",1
"395","74","75",1
"396","76","75",1
"397","91","75",1
"398","92","75",1
"399","60","76",1
"400","61","76",1
"401","75","76",1
"402","77","76",1
"403","92","76",1
"404","93","76",1
"405","61","77",1
"406","62","77",1
"407","76","77",1
"408","78","77",1
"409","93","77",1
"410","94","77",1
"411","62","78",1
"412","63","78",1
"413","77","78",1
"414","79","78",1
"415","94","78",1
"416","95","78",1
"417","63","79",1
"418","64","79",1
"419","78","79",1
"420","80","79",1
"421","95","79",1
"422","96","79",1
"423","64","80",1
"424","65","80",1
"425","79","80",1
"426","81","80",1
"427","96","80",1
"428","97","80",1
"429","65","81",1
"430","66","81",1
"431","80","81",1
"432","82","81",1
